来源,タイトル,年式,走行距離,色,販売店場所,url,本体価格,総価格
webike,CB400スーパーフォア [最終型 ABS LEDヘッドライト標準装備モデル] /ホンダ ご購入希望、ご購入のご相談は080-7795-4091吉澤まで!,2019,"1,823 km",,大阪府 大東市 三箇 3-11-48,https://moto.webike.net/bike_detail/2389296/,1599000,1664400
webike,CB400スーパーフォア [最終型 ABS LEDヘッドライト標準装備モデル] /ホンダ ご購入希望、ご購入のご相談は080-7795-4091吉澤まで!,2019,"11,590 km",,大阪府 大東市 三箇 3-11-48,https://moto.webike.net/bike_detail/2391917/,1279000,1372500
webike,CB400スーパーフォア /ホンダ スマホホルダー 純正スペアキーカバー付き ワンオーナー フルノーマル,2019,"20,926 km",,大阪府 大東市 三箇 3-11-48,https://moto.webike.net/bike_detail/2427078/,1139000,1229800
webike,CB400スーパーフォア [最終型 ABS LEDヘッドライト標準装備モデル] /ホンダ,2019,"7,573 km",,大阪府 大東市 三箇 3-11-48,https://moto.webike.net/bike_detail/2393219/,1299000,1393100
webike,CB400スーパーフォア [VTEC Revo] /ホンダ ABS 2021年式 グリップヒーター エンジンガード 盗難防止アラーム イモビライザー 新規車検2年,2021,"25,360 km",,千葉県 千葉市 花見川区 幕張本郷1-34-8,https://moto.webike.net/bike_detail/2428471/,1299800,1399000
webike,CB400スーパーフォア /ホンダ 最終型・2023年登録ワンオーナー屋内保管車 75104,2022,3 km,,宮城県 仙台市宮城野区 出花1丁目16-12,https://moto.webike.net/bike_detail/2420274/,1648000,1726000
webike,CB400スーパーフォア /ホンダ 2023年登録モデル グリップヒーター エンジンガード ETC2.0 純正スペアキー,2019,"3,866 km",,大阪府 大東市 三箇 3-11-48,https://moto.webike.net/bike_detail/2411942/,1349000,1443100
webike,CB400スーパーフォア [75160] /ホンダ VTEC Revo NC42 最終型 ノーマル車 75160,2019,1 km,,東京都 八王子市 館町2850-1,https://moto.webike.net/bike_detail/2417310/,1698000,1783600
webike,CB400スーパーフォア /ホンダ ETC車載器、USBソケット付き,2019,"17,062 km",,宮城県 仙台市青葉区大手町 8-18,https://moto.webike.net/bike_detail/2391531/,1268000,1330200
webike,CB400スーパーフォア /ホンダ 2021年登録最終モデル 75143,2021,"2,300 km",,宮城県 仙台市宮城野区 出花1丁目16-12,https://moto.webike.net/bike_detail/2420276/,1298000,1376000
webike,CB400スーパーフォア /ホンダ,2019,"7,270 km",,岡山県 岡山市中区 雄町374-1,https://moto.webike.net/bike_detail/2427032/,1342000,1402100
webike,CB400スーパーフォア /ホンダ,2019,"1,025 km",,広島県 広島市南区 東雲3-5-21,https://moto.webike.net/bike_detail/2430731/,1580000,1686600
webike,CB400スーパーフォア /ホンダ ETC スマホホルダー USB マルチバー,2020,"34,930 km",,北海道 札幌市白石区 本通12丁目北1-15,https://moto.webike.net/bike_detail/2424610/,990000,1078700
webike,CB400スーパーフォア /ホンダ,2019,"7,989 km",,埼玉県 東松山市 六軒町21-14,https://moto.webike.net/bike_detail/2430444/,1448000,1510900
