来源,listing_id,listing_key,タイトル,年式,走行距離,色,販売店場所,url,本体価格,総価格
bikekan,288611,bikekan:288611,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） 【下取り＆買取り強化中】,2019,"5,297km",,蕨店,https://www.bikekan.jp/buy/detail/288611,1249900,1365700
bikekan,288716,bikekan:288716,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） 【グリップヒーター ＥＴＣ装備】,2019,"5,939km",,千葉鶴沢店,https://www.bikekan.jp/buy/detail/288716,1299900,1415700
bikekan,288853,bikekan:288853,ホンダ CB400 SUPER FOUR REVO（スーパーフォア） 最終型 ノーマル,2019,"3,135km",,川崎店,https://www.bikekan.jp/buy/detail/288853,1399900,1486400
bikekan,288923,bikekan:288923,ホンダ CB400 SUPER FOUR REVO ABS（スーパーフォア） 【２０１９年モデル】エンジンガード USB電源 フェンダーレス★価格ご相談下さい！,2019,"3,628km",,三郷上彦名店,https://www.bikekan.jp/buy/detail/288923,1399900,1515700
bikekan,288942,bikekan:288942,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） ２０１９年モデル ETC2.0・USB電源付！絶版ボルドールのキレイな良質中古車！ぜひサウンド聴いて下さい！,2019,"8,143km",,岐阜長良店,https://www.bikekan.jp/buy/detail/288942,1199900,1315700
bikekan,289643,bikekan:289643,ホンダ CB400 SUPER FOUR REVO ABS（スーパーフォア） 極低走行車！ フルノーマル,2019,356km,,浜松有玉店,https://www.bikekan.jp/buy/detail/289643,1499900,1585500
bikekan,289910,bikekan:289910,ホンダ CB400 SUPER FOUR REVO ABS（スーパーフォア） 【ビキニカウル・グリップヒーター装備】,2019,52km,,大宮店,https://www.bikekan.jp/buy/detail/289910,1499900,1615700
bikekan,290206,bikekan:290206,ホンダ CB400 SUPER FOUR ABS（スーパーフォア） 2019年モデル！ USB電源装備！ スライダー付き！,2019,"1,718km",,京都木津川店,https://www.bikekan.jp/buy/detail/290206,1399900,1515700
bikekan,290275,bikekan:290275,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） ETC、USBにリアキャリア装備済み!!,2019,"18,692km",,伏見店,https://www.bikekan.jp/buy/detail/290275,1149900,1235500
bikekan,290472,bikekan:290472,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール）,2019,"3,930km",,座間店,https://www.bikekan.jp/buy/detail/290472,1499900,1586800
bikekan,291009,bikekan:291009,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） 最終型 BEAMS スリップオンJMCA,2019,"7,853km",,川崎店,https://www.bikekan.jp/buy/detail/291009,1249900,1365700
bikekan,291410,bikekan:291410,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） モリワキマフラー装着で心地よいサウンドと軽量化を実現,2019,"5,042km",,浦和店,https://www.bikekan.jp/buy/detail/291410,1199900,1315700
bikekan,291670,bikekan:291670,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） USB電源装備！,2019,"11,598km",,仙台南店,https://www.bikekan.jp/buy/detail/291670,1199900,1315700
bikekan,291776,bikekan:291776,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） グリップヒーター/エンジンガード/USB電源,2019,"5,849km",,港南店,https://www.bikekan.jp/buy/detail/291776,1249900,1365700
bikekan,291818,bikekan:291818,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） 買取査定大歓迎！！,2019,"18,923km",,前橋店,https://www.bikekan.jp/buy/detail/291818,1099900,1215700
bikekan,292086,bikekan:292086,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） スポーツグリップヒーター・ETC車載器標準装備,2019,447km,,札幌店,https://www.bikekan.jp/buy/detail/292086,1399900,1515700
bikekan,292363,bikekan:292363,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） ETC、USB装備 ミラー等カスタム多数！,2019,"15,059km",,富田林店,https://www.bikekan.jp/buy/detail/292363,1199000,1314800
bikekan,292488,bikekan:292488,ホンダ CB400 SUPER BOLD'OR REVO ABS E-Package ★★NC42後期最終モデル！！★★,2019,"1,411km",,富士店,https://www.bikekan.jp/buy/detail/292488,1299900,1387000
bikekan,292922,bikekan:292922,ホンダ CB400 SUPER FOUR REVO ABS（スーパーフォア） 低走行、ノーマル車両！,2019,685km,,半田店,https://www.bikekan.jp/buy/detail/292922,1449900,1565700
bikekan,292927,bikekan:292927,ホンダ CB400 SUPER FOUR REVO（スーパーフォア） 【4月小倉店限定！バイク館グループ中古車在庫取り寄せ費用半額キャンペーン実施中！】2019年式ETC、ヘルメットロック装着、低走行ノーマル車両！！,2019,"1,355km",,小倉店,https://www.bikekan.jp/buy/detail/292927,1449900,1565700
bikekan,292943,bikekan:292943,ホンダ CB400 SUPER FOUR REVO ABS（スーパーフォア） ETC/グリップヒーター/リアキャリア/ビキニカウル有,2019,"10,177km",,港南店,https://www.bikekan.jp/buy/detail/292943,1299900,1415700
bikekan,292947,bikekan:292947,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） 2019年モデル☆通販大歓迎！！,2019,"2,274km",,新潟中央店,https://www.bikekan.jp/buy/detail/292947,1349900,1465700
bikekan,292951,bikekan:292951,ホンダ CB400 SUPER FOUR REVO ABS（スーパーフォア） 【問い合わせは名古屋みなと店まで】低走行で外装ツヤ◎！社外グリップ、レバー ＥＴＣ、スマホホルダーなど小物類も充実！,2019,"2,562km",,名古屋みなと店,https://www.bikekan.jp/buy/detail/292951,1399900,1515700
bikekan,293003,bikekan:293003,ホンダ CB400 SUPER BOLD'OR REVO（スーパーボルドール） ETC エンジンガード キャリア ゼログラビティスクリーン,2019,"6,346km",,熊本本山店,https://www.bikekan.jp/buy/detail/293003,1299900,1415700
bikekan,293046,bikekan:293046,ホンダ CB400 SUPER FOUR REVO（スーパーフォア） セパハン ユーカナヤ製レバー,2019,"8,108km",,天白店,https://www.bikekan.jp/buy/detail/293046,1299900,1415700
bikekan,293411,bikekan:293411,ホンダ CB400 SUPER BOLD'OR REVO ABS E-Package ETC グリップヒーター フェンダーレス,2019,"7,986km",,門真店,https://www.bikekan.jp/buy/detail/293411,1099900,1215700
bikekan,293418,bikekan:293418,"ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） オーリンスリアサスペンション、フェンダレス、エンジンガード、USB,グリップヒーター",2019,"17,025km",,小山店,https://www.bikekan.jp/buy/detail/293418,1099900,1215700
bikekan,293436,bikekan:293436,ホンダ CB400 SUPER FOUR REVO ABS（スーパーフォア） エンジンガード/ETC/USB,2019,"4,410km",,港南店,https://www.bikekan.jp/buy/detail/293436,1349900,1465700
bikekan,293524,bikekan:293524,ホンダ CB400 SUPER FOUR REVO ABS（スーパーフォア） 【小牧店限定キャンペーン中！！】走行距離わずか2km！安心のフルノーマル！,2019,2km,,小牧店,https://www.bikekan.jp/buy/detail/293524,1599900,1689100
bikekan,293655,bikekan:293655,ホンダ CB400 SUPER FOUR REVO（スーパーフォア） ETC グリップヒーター付き,2019,"12,844km",,伏見店,https://www.bikekan.jp/buy/detail/293655,1299900,1385000
bikekan,293847,bikekan:293847,ホンダ CB400 SUPER FOUR REVO ABS（スーパーフォア） 【2019年モデル】ETC2.0 USB ドライブレコーダー エンジンガード ハンドルスペーサー等装備 ★お電話にて当店より車両状態詳細をお伝えいたします！,2019,"17,763km",,久留米インター店,https://www.bikekan.jp/buy/detail/293847,1119900,1235700
bikekan,294022,bikekan:294022,ホンダ CB400 SUPER FOUR REVO ABS（スーパーフォア） 買取強化中,2019,"9,931km",,前橋店,https://www.bikekan.jp/buy/detail/294022,1299000,1414800
bikekan,294182,bikekan:294182,ホンダ CB400 SUPER BOLD'OR REVO（スーパーボルドール）,2019,"9,439km",,大宮店,https://www.bikekan.jp/buy/detail/294182,1199900,1315700
bikekan,294186,bikekan:294186,ホンダ CB400 SUPER BOLD'OR REVO ABS（スーパーボルドール） ETC/USB/エンジンガード▶ご来店（又は商談）予約割引対象！お電話お待ちしております！,2019,"1,546km",,港北ニュータウン店,https://www.bikekan.jp/buy/detail/294186,1299900,1415700
u-media,1246222,u-media:1246222,CB400SF ABS,2020,713km,青/白,ユーメディア川崎,https://u-media.ne.jp/bike/detail.php?skanrino=1246222,1595000,
u-media,1264191,u-media:1264191,CB400SF REVO,2019,"1,551km",赤/白,ユーメディア横浜新山下,https://u-media.ne.jp/bike/detail.php?skanrino=1264191,1595000,
u-media,1264982,u-media:1264982,CB400SF REVO,2019,"1,178km",青/白,ユーメディア湘南,https://u-media.ne.jp/bike/detail.php?skanrino=1264982,1595000,
u-media,1265194,u-media:1265194,CB400SF REVO,2019,405km,赤/白,ユーメディア相模原,https://u-media.ne.jp/bike/detail.php?skanrino=1265194,1595000,
u-media,1265196,u-media:1265196,CB400SF REVO,2019,393km,赤/白,ユーメディア藤沢,https://u-media.ne.jp/bike/detail.php?skanrino=1265196,1595000,
u-media,1274434,u-media:1274434,CB400SF REVO,2019,"5,327km",赤/白,ユーメディア厚木,https://u-media.ne.jp/bike/detail.php?skanrino=1274434,1430000,
u-media,1279228,u-media:1279228,CB400SF REVO,2019,912km,青/白,ユーメディア相模原,https://u-media.ne.jp/bike/detail.php?skanrino=1279228,1595000,
u-media,1283116,u-media:1283116,CB400SF REVO,2019,371km,青/白,ユーメディア横浜青葉,https://u-media.ne.jp/bike/detail.php?skanrino=1283116,1595000,
u-media,1350659,u-media:1350659,CB400SB,2019,"23,242km",黒,ユーメディア小田原,https://u-media.ne.jp/bike/detail.php?skanrino=1350659,999900,
u-media,1369277,u-media:1369277,CB400SF,2019,849km,赤/白,ユーメディア横浜新山下,https://u-media.ne.jp/bike/detail.php?skanrino=1369277,1595000,
u-media,1370436,u-media:1370436,CB400SB,2020,"3,804km",青/白,ユーメディア横浜青葉,https://u-media.ne.jp/bike/detail.php?skanrino=1370436,1427800,
u-media,1372748,u-media:1372748,CB400SB,2021,"8,861km",青/白,ホンダドリーム相模原,https://u-media.ne.jp/bike/detail.php?skanrino=1372748,1320000,
u-media,1379966,u-media:1379966,CB400SF,2019,"4,420km",黒,ホンダドリーム相模原,https://u-media.ne.jp/bike/detail.php?skanrino=1379966,1427800,
u-media,1386534,u-media:1386534,CB400SF,2019,524km,白/赤,ユーメディア横浜新山下,https://u-media.ne.jp/bike/detail.php?skanrino=1386534,1595000,
webike,1797595,webike:1797595,CB400スーパーフォア /ホンダ VTEC付低走行車!,2019,"1,006 km",,神奈川県 相模原市中央区 富士見2-8-6,https://moto.webike.net/bike_detail/1797595/,1427800,
webike,1797694,webike:1797694,CB400スーパーフォア [REVO] /ホンダ,2019,405 km,,神奈川県 相模原市南区 鵜野森1-9-15,https://moto.webike.net/bike_detail/1797694/,1595000,
webike,1949004,webike:1949004,CB400スーパーフォア /ホンダ,2019,777 km,,神奈川県 茅ヶ崎市 中島12-7,https://moto.webike.net/bike_detail/1949004/,1540000,1640200
webike,1949006,webike:1949006,CB400スーパーフォア /ホンダ,2019,"1,383 km",,神奈川県 茅ヶ崎市 中島12-7,https://moto.webike.net/bike_detail/1949006/,1540000,1640200
webike,1989800,webike:1989800,CB400スーパーフォア /ホンダ,2019,118 km,,神奈川県 厚木市 恩名1-10-1,https://moto.webike.net/bike_detail/1989800/,1494900,1601500
webike,2003268,webike:2003268,CB400スーパーフォア /ホンダ 純正グリップヒーター,2020,713 km,,神奈川県 川崎市幸区 南加瀬5-4-1,https://moto.webike.net/bike_detail/2003268/,1595000,
webike,2013645,webike:2013645,CB400スーパーフォア /ホンダ 台数限定、ドレミコレクション製CBX TYPE-Xノーマルスタイル外装キット装着車,2019,1 km,,神奈川県 相模原市中央区 富士見2-8-6,https://moto.webike.net/bike_detail/2013645/,2178000,2275300
webike,2013648,webike:2013648,CB400スーパーフォア /ホンダ 台数限定、ドレミコレクション製外装キット装着車、CBX TYPE-Xフィン付きカウル仕様,2019,1 km,,神奈川県 相模原市中央区 富士見2-8-6,https://moto.webike.net/bike_detail/2013648/,2178000,2246600
webike,2015805,webike:2015805,CB400スーパーフォア /ホンダ,2019,371 km,,神奈川県 横浜市青葉区 荏田町344-1,https://moto.webike.net/bike_detail/2015805/,1595000,
webike,2018740,webike:2018740,CB400スーパーフォア [REVO] /ホンダ,2019,912 km,,神奈川県 相模原市南区 鵜野森1-9-15,https://moto.webike.net/bike_detail/2018740/,1595000,
webike,2027175,webike:2027175,CB400スーパーフォア /ホンダ,2019,"5,327 km",,神奈川県 厚木市 恩名1-10-1,https://moto.webike.net/bike_detail/2027175/,1320000,1437100
webike,2247887,webike:2247887,CB400スーパーフォア /ホンダ,2019,393 km,,神奈川県 藤沢市 立石2丁目1-1,https://moto.webike.net/bike_detail/2247887/,1595000,
webike,2313065,webike:2313065,CB400スーパーフォア /ホンダ,2019,"9,433 km",,埼玉県 川口市 弥平1-12-10,https://moto.webike.net/bike_detail/2313065/,1338000,1407000
webike,2356142,webike:2356142,CB400スーパーフォア /ホンダ NC42 エンジンスライダー ラジエターガード ETC付,2019,"14,969 km",,大阪府 東大阪市 中野南2番44号,https://moto.webike.net/bike_detail/2356142/,1265000,1388300
webike,2358304,webike:2358304,CB400スーパーフォア /ホンダ,2019,"1,551 km",,神奈川県 横浜市中区 新山下1丁目17-39-2Ｆ,https://moto.webike.net/bike_detail/2358304/,1595000,
webike,2359614,webike:2359614,CB400スーパーフォア /ホンダ ABS NC42 ETC付 SHOWAサスペンション,2019,"17,603 km",,大阪府 東大阪市 中野南2番44号,https://moto.webike.net/bike_detail/2359614/,1210000,1333300
webike,2359623,webike:2359623,CB400スーパーフォア [キャンディークロモスフィアレッド] /ホンダ 2019年モデル 初年度登録2022年 直列4気筒エンジン LEDヘッドライト,2019,1 km,,岡山県 岡山市北区 伊福町3-4-5,https://moto.webike.net/bike_detail/2359623/,1650000,1737000
webike,2359773,webike:2359773,CB400スーパーフォア /ホンダ ETC ドライブレコーダー エンジンガード USB電源,2019,"28,397 km",,佐賀県 佐賀市 鍋島町八戸溝966-11,https://moto.webike.net/bike_detail/2359773/,,
webike,2371593,webike:2371593,CB400スーパーフォア /ホンダ VTEC REVO ワイバーンフルエキマフラー フェンダーレス バーエンド LEDヘッドライト ゴールドホイール,2019,"7,494 km",,兵庫県 神戸市西区 枝吉1丁目223,https://moto.webike.net/bike_detail/2371593/,1420000,1492300
webike,2389296,webike:2389296,CB400スーパーフォア [最終型 ABS LEDヘッドライト標準装備モデル] /ホンダ ご購入希望、ご購入のご相談は080-7795-4091吉澤まで!,2019,"1,823 km",,大阪府 大東市 三箇 3-11-48,https://moto.webike.net/bike_detail/2389296/,1599000,1664400
webike,2390185,webike:2390185,CB400スーパーフォア [安心FIレボ] /ホンダ HONDA CB400SF 2019年モデル ETC USB エンジンガード ハンドルアップスペーサー リムステッカー,2019,"8,739 km",,大阪府 寝屋川市 河北東町1-15,https://moto.webike.net/bike_detail/2390185/,1155000,1278300
webike,2391531,webike:2391531,CB400スーパーフォア /ホンダ ETC車載器、USBソケット付き,2019,"17,062 km",,宮城県 仙台市青葉区大手町 8-18,https://moto.webike.net/bike_detail/2391531/,1268000,1330200
webike,2391892,webike:2391892,CB400スーパーフォア /ホンダ,2023,"7,725 km",,三重県 桑名市 江場476,https://moto.webike.net/bike_detail/2391892/,1330000,1380000
webike,2391917,webike:2391917,CB400スーパーフォア [最終型 ABS LEDヘッドライト標準装備モデル] /ホンダ ご購入希望、ご購入のご相談は080-7795-4091吉澤まで!,2019,"11,590 km",,大阪府 大東市 三箇 3-11-48,https://moto.webike.net/bike_detail/2391917/,1279000,1372500
webike,2392440,webike:2392440,CB400スーパーフォア /ホンダ,2019,"11,569 km",,埼玉県 上尾市 上257-1,https://moto.webike.net/bike_detail/2392440/,1278000,1340900
webike,2393219,webike:2393219,CB400スーパーフォア [最終型 ABS LEDヘッドライト標準装備モデル] /ホンダ,2019,"7,573 km",,大阪府 大東市 三箇 3-11-48,https://moto.webike.net/bike_detail/2393219/,1299000,1393100
webike,2393430,webike:2393430,CB400スーパーフォア /ホンダ HONDA CB400SF 社外レバー エンジンガード USB 追加カスタム可能,2019,"5,577 km",,大阪府 寝屋川市 河北東町1-15,https://moto.webike.net/bike_detail/2393430/,1375000,1450500
webike,2393536,webike:2393536,CB400スーパーフォア /ホンダ,2019,"3,281 km",,東京都 八王子市 松木34-8,https://moto.webike.net/bike_detail/2393536/,1350000,1412900
webike,2393918,webike:2393918,CB400スーパーフォア /ホンダ ワンオーナー フルノーマル ヘルメットホルダー 純正キー2本付属 新品バッテリー 新品プラグ 1年保証,2020,"2,402 km",,福岡県 筑紫野市 杉塚3-3-20,https://moto.webike.net/bike_detail/2393918/,1428900,1499300
webike,2401456,webike:2401456,CB400スーパーフォア /ホンダ,2019,849 km,,神奈川県 横浜市中区 新山下1丁目17-39-2Ｆ,https://moto.webike.net/bike_detail/2401456/,1595000,
webike,2403421,webike:2403421,CB400スーパーフォア /ホンダ,2019,"14,483 km",,大阪府 堺市美原区 平尾290-3,https://moto.webike.net/bike_detail/2403421/,1238000,1300900
webike,2406014,webike:2406014,CB400スーパーフォア /ホンダ,2019,"9,290 km",,兵庫県 尼崎市 大島1−6−1ー1Ｆ,https://moto.webike.net/bike_detail/2406014/,1379000,1443600
webike,2406552,webike:2406552,CB400スーパーフォア /ホンダ,2019,"17,167 km",,埼玉県 川口市 弥平1-12-10,https://moto.webike.net/bike_detail/2406552/,1248000,1317000
webike,2406650,webike:2406650,CB400スーパーフォア /ホンダ,2019,"1,784 km",,奈良県 生駒郡三郷町 三室1-14-10,https://moto.webike.net/bike_detail/2406650/,1398000,1504600
webike,2407655,webike:2407655,CB400スーパーフォア /ホンダ,2019,"7,114 km",,埼玉県 草加市 西町1275-1,https://moto.webike.net/bike_detail/2407655/,1348000,1410900
webike,2408858,webike:2408858,CB400スーパーフォア /ホンダ,2019,"10,818 km",,埼玉県 入間市 東藤沢3-6-6,https://moto.webike.net/bike_detail/2408858/,1398000,1504600
webike,2409520,webike:2409520,CB400スーパーフォア /ホンダ 当社ワンオーナー ミツバ製ドライブレコードEDR21G搭載,2019,"4,420 km",,神奈川県 相模原市中央区 富士見2-8-6,https://moto.webike.net/bike_detail/2409520/,1427800,1496000
webike,2410947,webike:2410947,CB400スーパーフォア /ホンダ,2020,"28,210 km",,岡山県 岡山市北区 大安寺南町1-1-73,https://moto.webike.net/bike_detail/2410947/,1148000,1210900
webike,2411942,webike:2411942,CB400スーパーフォア /ホンダ 2023年登録モデル グリップヒーター エンジンガード ETC2.0 純正スペアキー,2019,"3,866 km",,大阪府 大東市 三箇 3-11-48,https://moto.webike.net/bike_detail/2411942/,1349000,1443100
webike,2412107,webike:2412107,CB400スーパーフォア /ホンダ,2019,"5,947 km",,愛知県 名古屋市港区木場町 8-17,https://moto.webike.net/bike_detail/2412107/,1300000,1406600
webike,2412634,webike:2412634,CB400スーパーフォア /ホンダ NC42 400ccネイキッド 最終型 モリワキショートマフラー ETC付,2019,"47,065 km",,愛知県 名古屋市天白区 植田南2-1104,https://moto.webike.net/bike_detail/2412634/,1023000,1146300
webike,2413153,webike:2413153,CB400スーパーフォア /ホンダ 2020年モデル NC42,2020,"3,507 km",,兵庫県 伊丹市 下河原1-2-33,https://moto.webike.net/bike_detail/2413153/,1532900,1623000
webike,2414256,webike:2414256,CB400スーパーフォア /ホンダ,2019,"16,582 km",,静岡県 浜松市中央区原島町 525ナップス浜松店内,https://moto.webike.net/bike_detail/2414256/,1358000,1420900
webike,2414273,webike:2414273,CB400スーパーフォア /ホンダ,2019,330 km,,東京都 国分寺市 西元町2-3-20,https://moto.webike.net/bike_detail/2414273/,1648000,1710900
webike,2415591,webike:2415591,CB400スーパーフォア /ホンダ,2022,13 km,,大阪府 八尾市 新家町７-１-１,https://moto.webike.net/bike_detail/2415591/,1699900,1790000
webike,2416132,webike:2416132,CB400スーパーフォア /ホンダ,2019,"10,117 km",,神奈川県 横浜市港北区 菊名7-9-25,https://moto.webike.net/bike_detail/2416132/,1298000,1404600
webike,2417310,webike:2417310,CB400スーパーフォア [75160] /ホンダ VTEC Revo NC42 最終型 ノーマル車 75160,2019,1 km,,東京都 八王子市 館町2850-1,https://moto.webike.net/bike_detail/2417310/,1698000,1783600
webike,2417479,webike:2417479,CB400スーパーフォア /ホンダ 4スト FI ABS 社外マフラー USB ETC付き ブレースバー 車検2年付き,2019,"4,685 km",,福岡県 福岡市博多区 東那珂1丁目11-33,https://moto.webike.net/bike_detail/2417479/,1459000,1569400
webike,2418020,webike:2418020,CB400スーパーフォア /ホンダ,2019,"9,927 km",,愛知県 一宮市 島崎1-1-14,https://moto.webike.net/bike_detail/2418020/,1298000,1404600
webike,2418427,webike:2418427,CB400スーパーフォア /ホンダ,2019,"3,151 km",,京都府 八幡市 欽明台西40-6,https://moto.webike.net/bike_detail/2418427/,1498000,1560900
webike,2418453,webike:2418453,CB400スーパーフォア /ホンダ,2020,"5,549 km",,愛知県 小牧市 間々原新田下新池947,https://moto.webike.net/bike_detail/2418453/,1358000,1464600
webike,2419099,webike:2419099,CB400スーパーフォア /ホンダ,2019,"8,622 km",,愛知県 名古屋市守山区 小幡千代田15-9,https://moto.webike.net/bike_detail/2419099/,1428000,1490900
webike,2419409,webike:2419409,CB400スーパーフォア /ホンダ,2019,走行不明,,千葉県 木更津市 築地1-4 イオンモール木更津内,https://moto.webike.net/bike_detail/2419409/,1058000,1120900
